score,hand_length,action,result,reward
12.0,2.0,DOUBLE DOWN,win,40
9.0,2.0,HIT,unsettled,0
20.0,3.0,SURRENDER,surrendered,-10
11.0,2.0,HIT,unsettled,0
21.0,3.0,SURRENDER,surrendered,-10
21.0,2.0,SURRENDER,surrendered,-10
20.0,2.0,SURRENDER,surrendered,-10
20.0,2.0,SURRENDER,surrendered,-10
14.0,2.0,DOUBLE DOWN,win,40
17.0,2.0,SURRENDER,surrendered,-10
18.0,2.0,SURRENDER,surrendered,-10
4.0,2.0,STAND,lose,-20
12.0,2.0,DOUBLE DOWN,lose,-40
8.0,2.0,STAND,win,20
16.0,2.0,DOUBLE DOWN,bust,-40
21.0,2.0,SURRENDER,surrendered,-10
20.0,2.0,SURRENDER,surrendered,-10
16.0,2.0,DOUBLE DOWN,win,40
16.0,2.0,DOUBLE DOWN,draw,0
20.0,2.0,HIT,unsettled,0
14.0,3.0,DOUBLE DOWN,lose,-40
11.0,2.0,DOUBLE DOWN,win,40
18.0,2.0,SURRENDER,surrendered,-10
18.0,2.0,SURRENDER,surrendered,-10
15.0,2.0,STAND,lose,-20
10.0,2.0,STAND,win,20
18.0,2.0,SURRENDER,surrendered,-10
20.0,2.0,SURRENDER,surrendered,-10
11.0,2.0,HIT,unsettled,0
14.0,3.0,DOUBLE DOWN,win,40
17.0,2.0,SURRENDER,surrendered,-10
14.0,2.0,DOUBLE DOWN,bust,-40
21.0,2.0,SURRENDER,surrendered,-10
15.0,2.0,DOUBLE DOWN,bust,-40
14.0,2.0,DOUBLE DOWN,lose,-40
14.0,2.0,DOUBLE DOWN,bust,-40
15.0,2.0,DOUBLE DOWN,bust,-40
16.0,2.0,DOUBLE DOWN,win,40
16.0,2.0,DOUBLE DOWN,bust,-40
16.0,2.0,DOUBLE DOWN,bust,-40
19.0,2.0,SURRENDER,surrendered,-10
18.0,2.0,SURRENDER,surrendered,-10
17.0,2.0,HIT,unsettled,0
13.0,3.0,DOUBLE DOWN,win,40
16.0,2.0,DOUBLE DOWN,lose,-40
13.0,2.0,DOUBLE DOWN,bust,-40
12.0,2.0,DOUBLE DOWN,bust,-40
14.0,2.0,DOUBLE DOWN,lose,-40
18.0,2.0,SURRENDER,surrendered,-10
15.0,2.0,DOUBLE DOWN,bust,-40
20.0,2.0,SURRENDER,surrendered,-10
10.0,2.0,HIT,unsettled,0
20.0,3.0,SURRENDER,surrendered,-10
12.0,2.0,DOUBLE DOWN,win,40
15.0,2.0,DOUBLE DOWN,win,40
11.0,2.0,DOUBLE DOWN,win,40
20.0,2.0,SURRENDER,surrendered,-10
10.0,2.0,HIT,unsettled,0
17.0,3.0,DOUBLE DOWN,win,40
15.0,2.0,DOUBLE DOWN,lose,-40
10.0,2.0,DOUBLE DOWN,draw,0
13.0,2.0,DOUBLE DOWN,bust,-40
20.0,2.0,SURRENDER,surrendered,-10
11.0,2.0,DOUBLE DOWN,lose,-40
15.0,2.0,DOUBLE DOWN,bust,-40
12.0,2.0,DOUBLE DOWN,win,40
6.0,2.0,STAND,lose,-20
14.0,2.0,DOUBLE DOWN,bust,-40
5.0,2.0,STAND,win,20
20.0,2.0,SURRENDER,surrendered,-10
21.0,2.0,SURRENDER,surrendered,-10
13.0,2.0,DOUBLE DOWN,win,40
13.0,2.0,DOUBLE DOWN,bust,-40
13.0,2.0,DOUBLE DOWN,draw,0
17.0,2.0,DOUBLE DOWN,lose,-40
19.0,2.0,SURRENDER,surrendered,-10
5.0,2.0,STAND,lose,-20
16.0,2.0,DOUBLE DOWN,bust,-40
14.0,2.0,DOUBLE DOWN,draw,0
20.0,2.0,SURRENDER,surrendered,-10
13.0,2.0,HIT,unsettled,0
18.0,3.0,SURRENDER,surrendered,-10
17.0,2.0,DOUBLE DOWN,bust,-40
10.0,2.0,DOUBLE DOWN,lose,-40
